,UID,min,max,mean,std
1649,1705,-120.0,-26.403987884521484,-104.21392822265625,18.747833533692134
1650,1706,-120.0,-32.35580825805664,-101.32780456542969,19.960044622887402
1651,1707,-120.0,-23.993911743164062,-97.92123413085938,21.50651274223767
1652,1708,-120.0,-25.09685707092285,-112.2322769165039,14.484768464012626
1653,1709,-120.0,-23.708084106445312,-95.35721588134766,18.782659544392185
1654,1710,-120.0,-31.424348831176758,-99.33692932128906,22.82061740210552
1655,1711,-120.0,-37.79741668701172,-97.75117492675781,20.017600135519416
1656,1712,-120.0,-23.719589233398438,-115.73551177978516,11.116055439660133
1657,1713,-120.0,-27.710987091064453,-115.11245727539062,12.331115591995886
1658,1714,-120.0,-36.99102783203125,-115.8331527709961,10.73271492860821
1659,1715,-120.0,-24.898548126220703,-103.77638244628906,19.04054351543782
1660,1716,-120.0,-41.209266662597656,-105.84858703613281,18.132347143694695
1661,1717,-120.0,-27.367206573486328,-99.25920867919922,18.973368401422395
1662,1718,-120.0,-37.011314392089844,-101.76526641845703,19.57852092077725
1663,1719,-120.0,-28.123977661132812,-110.96714782714844,15.365792843901016
1664,1721,-120.0,-17.873754501342773,-110.95856475830078,15.08442074278982
1665,1722,-120.0,-19.53402328491211,-103.50896453857422,18.63643996398588
1666,1723,-120.0,-24.959535598754883,-95.71515655517578,22.422606559276495
1667,1724,-120.0,-26.249330520629883,-97.10334014892578,20.910352181853384
1668,1725,-120.0,-40.394378662109375,-100.87472534179688,19.11760733345703
1669,1726,-120.0,-38.01545715332031,-89.45013427734375,22.544663921599955
1670,1727,-120.0,-39.39153289794922,-98.95975494384766,19.86161843150628
1671,1728,-120.0,-40.394378662109375,-100.87472534179688,19.11760733345703
1672,1729,-120.0,-36.95896530151367,-89.6046371459961,22.514121138404796
1673,1730,-120.0,-30.09463119506836,-86.88349151611328,22.96567395431236
1674,1731,-120.0,-41.376953125,-98.87394714355469,20.822772632563172
1675,1732,-120.0,-35.359378814697266,-90.41494750976562,21.43415579555138
1676,1733,-120.0,-33.0279541015625,-90.42191314697266,22.33369255725948
1677,1734,-120.0,-32.334896087646484,-99.08280944824219,21.055502071441296
1678,1735,-120.0,-38.01545715332031,-89.45013427734375,22.544663921599955
1679,1736,-120.0,-33.67505645751953,-83.69341278076172,24.448925108577754
1680,1737,-120.0,-27.065994262695312,-106.99666595458984,18.426733979370418
1681,1738,-120.0,-35.11448287963867,-98.91998291015625,20.966046450386532
1682,1739,-120.0,-33.199615478515625,-91.19413757324219,23.69249952392964
1683,1740,-120.0,-35.763492584228516,-102.82262420654297,19.236999084812123
1684,1741,-120.0,-40.297218322753906,-101.28952026367188,18.987535905835454
1685,1742,-120.0,-27.912843704223633,-101.35702514648438,20.207113180652577
1686,1743,-120.0,-35.90726852416992,-102.91635131835938,19.19407794539316
1687,1744,-120.0,-33.54759216308594,-91.61840057373047,22.693041248227395
1688,1745,-120.0,-27.68194007873535,-96.5843734741211,21.13749226141934
1689,1746,-120.0,-27.68194007873535,-96.58436584472656,21.13750742094969
1690,1747,-120.0,-28.643692016601562,-98.84857177734375,21.411875543880797
1691,1748,-120.0,-38.5992431640625,-93.35163116455078,20.90632079701204
1692,1749,-120.0,-35.763492584228516,-102.82262420654297,19.236999084812123
1693,1750,-120.0,-35.552085876464844,-90.48182678222656,22.172360867209907
1694,1751,-120.0,-32.505672454833984,-90.89945220947266,23.587328389346577
1695,1752,-120.0,-31.301769256591797,-95.99954986572266,22.77793426873432
1696,1753,-120.0,-26.664325714111328,-100.15191650390625,20.25279461450359
1697,1754,-120.0,-24.94219207763672,-100.42882537841797,20.559656937998824
1698,1755,-120.0,-30.646608352661133,-95.60192108154297,22.305316185316745
1699,1756,-120.0,-37.79741668701172,-97.75117492675781,20.017600135519416
1700,1757,-120.0,-27.16794204711914,-96.26496124267578,21.165435915431424
1701,1758,-120.0,-30.581987380981445,-95.3523941040039,21.743359483774007
1702,1759,-120.0,-30.652202606201172,-96.35951232910156,22.692695632264442
1703,1760,-120.0,-35.976356506347656,-97.76290130615234,19.013630846289836
1704,1761,-120.0,-29.494972229003906,-95.73361206054688,21.46497917097864
1705,1762,-120.0,-23.62630844116211,-111.34980010986328,16.196656925323836
1706,1763,-120.0,-50.54034423828125,-106.04974365234375,15.516220465505757
1707,1764,-120.0,-30.60369873046875,-102.43009948730469,19.766374584353713
1708,1765,-120.0,-32.505672454833984,-90.89945220947266,23.587328389346577
1709,1766,-120.0,-40.22856140136719,-114.77332305908203,12.39301076003092
1710,1767,-120.0,-29.28245735168457,-104.81317138671875,18.91364298894534
1711,1768,-120.0,-27.006704330444336,-84.09169006347656,21.16314107213441
1712,1769,-120.0,-33.199615478515625,-91.19413757324219,23.69249952392964
1713,1770,-120.0,-29.880916595458984,-100.69306945800781,20.918361559687146
1714,1771,-120.0,-28.368701934814453,-87.29389190673828,26.26850514956968
1715,1772,-120.0,-34.601318359375,-101.92442321777344,19.367784694806346
1716,1773,-120.0,-33.199615478515625,-91.19413757324219,23.69249952392964
1717,1774,-120.0,-20.13396453857422,-102.16739654541016,15.913758070388388
1718,1775,-120.0,-26.319438934326172,-116.7127456665039,9.282115960101843
1719,1776,-120.0,-26.41251564025879,-115.10144805908203,11.277482436582284
1720,1777,-120.0,-26.217933654785156,-116.7458267211914,9.65499682149336
1721,1778,-120.0,-25.732162475585938,-116.62783813476562,9.979572030410736
1722,1779,-120.0,-20.20038414001465,-115.66693878173828,11.252958798737078
1723,1780,-120.0,-17.792036056518555,-111.21704864501953,14.390743756296093
1724,1781,-120.0,-22.325496673583984,-114.12044525146484,13.712501580126105
1725,1782,-120.0,-22.040725708007812,-115.55613708496094,11.285315798024122
1726,1783,-120.0,-21.671960830688477,-115.66960906982422,11.109194039159952
1727,1784,-120.0,-25.961999893188477,-105.07701110839844,17.892957510339002
1728,1785,-120.0,-20.90226173400879,-107.7469253540039,16.1579725870853
1729,1786,-120.0,-24.65011215209961,-105.83560943603516,16.92456551787224
1730,1787,-120.0,-23.372142791748047,-115.20378875732422,11.860278832694357
1731,1788,-120.0,-20.860767364501953,-117.32127380371094,9.342292391272254
1732,1789,-120.0,-23.7403507232666,-116.55529022216797,10.09825841410522
1733,1790,-120.0,-23.977994918823242,-115.1007308959961,12.035935953321658
1734,1791,-120.0,-20.860767364501953,-117.32127380371094,9.342292391272254
1735,1792,-120.0,-19.432741165161133,-116.62299346923828,9.466094296125753
1736,1793,-120.0,-19.35190200805664,-116.63273620605469,9.4465272688648
1737,1794,-120.0,-21.549087524414062,-114.63235473632812,12.542167645119454
1738,1795,-120.0,-25.00501251220703,-117.29379272460938,9.426228847381285
1739,1796,-120.0,-25.9774112701416,-108.93409729003906,15.312252867903696
1740,1797,-120.0,-23.372142791748047,-115.20378875732422,11.860278832694357
1741,1798,-120.0,-23.601226806640625,-115.99406433105469,10.700166034301574
1742,1799,-120.0,-23.411710739135742,-117.57677459716797,8.981553140407557
1743,1800,-120.0,-23.23624610900879,-115.16822052001953,11.999943415190483
1744,1801,-120.0,-25.536605834960938,-112.0013427734375,14.975292965884258
1745,1802,-120.0,-31.243364334106445,-99.99092864990234,19.997847631985533
1746,1803,-120.0,-26.325538635253906,-109.20953369140625,15.098135301261388
1747,1804,-120.0,-26.731868743896484,-112.4052963256836,13.619491723613269
1748,1805,-120.0,-33.721187591552734,-106.73260498046875,16.796752361470897
1749,1806,-120.0,-21.093505859375,-95.39520263671875,22.083879264945093
1750,1807,-120.0,-33.71371078491211,-107.15863800048828,17.281813324340238
1751,1808,-120.0,-22.236064910888672,-92.29422760009766,23.004888927155925
1752,1809,-120.0,-22.809490203857422,-101.66529083251953,19.05341740590779
1753,1811,-120.0,-22.2337646484375,-101.3946762084961,19.12614646916011
1754,1812,-120.0,-24.182817459106445,-103.1521987915039,18.368911253385857
1755,1813,-120.0,-23.81631088256836,-112.08423614501953,13.779346014485379
1756,1814,-120.0,-29.672847747802734,-107.49187469482422,16.573351029754626
1757,1815,-120.0,-32.36428451538086,-107.17002868652344,17.371535140979823
1758,1816,-120.0,-19.320993423461914,-112.75802612304688,13.178061339179587
1759,1817,-120.0,-17.121095657348633,-106.74750518798828,16.56371052474826
1760,1818,-120.0,-21.92206382751465,-99.97212219238281,19.95740627400131
1761,1819,-120.0,-29.330810546875,-107.43238067626953,16.61551803144052
1762,1820,-120.0,-29.672847747802734,-107.49187469482422,16.573351950436788
1763,1821,-120.0,-29.672847747802734,-107.49187469482422,16.573351950436788
1764,1822,-120.0,-22.2337646484375,-101.3946762084961,19.12614646916011
1765,1823,-120.0,-27.742061614990234,-111.51016235351562,15.436509567797986
1766,1824,-120.0,-24.182817459106445,-103.38440704345703,18.35242055784553
1767,1825,-120.0,-20.91152000427246,-101.73048400878906,18.85135285964039
1768,1826,-120.0,-22.809490203857422,-101.66529083251953,19.05341740590779
1769,1827,-120.0,-20.471925735473633,-106.76709747314453,16.618365577363214
1770,1828,-120.0,-24.297372817993164,-108.22413635253906,16.66215047047593
1771,1829,-120.0,-24.19162940979004,-100.65609741210938,18.13103179537347
